"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.515924000768539","0.527068216062367","0.535021866270286","0.550334904256594","0.572710033303173","0.579884196111006","0.588019005704173","0.599463300613866","0.63187366325114","0.636738944318218","0.629030971500626","0.649799807189274","0.668278499692793","0.675206797653464","0.676080068045223","0.688709833750564","0.691379833076117","0.707909328915721","0.724205259637223","0.731853691809475","0.714364479414056","0.727899780486547","0.736201875036654","0.717955861011698","0.731197082796575","0.76107146353695","0.757008158294849","0.754575223230117","0.753648557253843","0.781636525217436","0.749909353326693","",
"Africa Eastern and Southern","AFE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.204748281889428","0.205435839637166","0.228347314667492","0.23646273385496","0.244445083152916","0.292384780918767","0.286282858243922","0.2878073126979","0.317581423693376","0.347863587077341","0.333640301889747","0.309754838988464","0.296808839526113","0.266375606250318","0.258446372413951","0.251010399688945","0.233226199825445","0.229616945589503","0.248618268678258","",
"Africa Western and Central","AFW","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.355690085316347","0.321715893994276","0.261720509522127","0.233532945417266","0.173593240123716","0.184508086210892","0.216844398775622","0.201932706226255","0.162254205107421","0.148080654303322","0.208483418452962","0.191512752050582","0.231700774531573","0.257094156896406","0.298372771657391","0.394793600733751","0.486425348312818","0.517616709475218","0.619744631690086","0.484826060722962","0.53089422448057","0.673294767630891","0.671584581910753","0.667456361594992","0.622805580178878","0.426284265763066","0.243273083758624","0.316407237824594","0.353191503322685","0.311323187975317","0.251828965396433","0.324858796899474",
"Albania","ALB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.292219508037116","0.212802991237757","0.132962427786679","0.215464096288303","0.309102285039964","0.339450072097116","0.338875948377187","0.263971276541491","0.269373782432573","0.297621910711225","0.291826043776162","0.298091863344896","0.305728621135827","0.369220378993144","0.437306226988361","0.455865124788208","0.452708437397717","0.49359727194667","0.531156424465668","0.46682414003738","0.425222412901492","0.434682958876255","0.403527024509347","0.417470167974643","0.406654624958771","0.339037187690898","0.341428011223058","0.354790701040494","0.391732817444056","0.385459850029638","0.391144917232518","0.415081712744445",
"Andorra","AND","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.318246941385614","0.310332729697949","0.308900340766404","0.305604338634282","0.298429470218297","0.303721796778208","0.315479461879346","0.30717807384228","0.290717107022456","0.310882393175608","0.338831679094884","0.32358134687667","0.330630106288983","0.337435092526366","0.356550600915363","0.402842805930821","0.437531079441263","0.479414742082154","0.557572502065593","0.469904506067548","0.522319217028673","0.579062865006023","0.59298151118809","0.60267282879377","0.594300100639453","0.595720809199033","0.596256528767376","0.604980798543434","0.639354524133342","0.600205404690791","0.54345813637328","",
"Argentina","ARG","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.602896763799367","0.717220146429231","0.783458875826676","0.731858572982473","0.73623721421431","0.743940340077583","0.730181312413699","0.714473304039453","0.694473012709146","0.672245111990598","0.664171110696196","0.642419923256386","0.258188470111624","0.303722839912325","0.3501103525251","0.376406087379189","0.395454344856432","0.436729242081594","0.517825554379124","0.503663126937782","0.57495647037521","0.664978426902684","0.666077556687089","0.649734868445919","0.626648111712349","0.685845508437129","0.629817033514829","0.619272318666963","0.5064326822883","0.438152089060441","0.413389251177944","0.454101389430651",
